grupo,nf_ou_fonte,sku,descricao,unidade,qtd_nf,componente,qtd_componente
transfer_mar,000598,YW1050RCC,"Pote hermético, vidro borosilicato c/ tampa PP, 1050ml - CX c/12 pcs",UN,75.0,YW1050,900.0
transfer_mar,000598,YW1520RCC,"Pote hermético, vidro borosilicato c/ tampa PP, 1520ml - CX c/12 pcs",UN,75.0,YW1520,900.0
transfer_mar,000598,YW800SQC,"Pote hermético, vidro borosilicato c/ tampa PP, 800ml - CX c/12 pcs",UN,48.0,YW800SQ,576.0
transfer_mar,000598,KIT3S096,"Conjunto 03 pçs pote hermético (320ml, 520ml, 800ml) - CX c/12 conj",UN,8.0,YW800SQ,96.0
transfer_mar,000598,KIT6S097,"Conjunto 06 pçs pote hermético (320ml x2, 520ml x2, 800ml x2) - CX c/6 conj",UN,17.0,YW800SQ,204.0
transfer_mar,000598,KIT9S098,"Conjunto 09 pçs pote hermético (320ml x3, 520ml x3, 800ml x3) - CX c/2 conj",UN,50.0,YW800SQ,300.0
transfer_mar,000598,KIT2YW800SQ,Conjunto 02 pçs pote hermético (800ml x2) - CX c/12 conj,UN,8.0,YW800SQ,192.0
transfer_mar,000598,KIT4YW800SQ,Conjunto 04 pçs pote hermético (800ml x4) - CX c/6 conj,UN,16.0,YW800SQ,384.0
transfer_mar,000598,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",UN,12.0,YW1050,96.0
transfer_mar,000598,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",UN,12.0,YW1520,96.0
transfer_mar,000598,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",UN,12.0,YW1050,96.0
transfer_mar,000598,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",UN,12.0,YW1520,96.0
transfer_mar,000598,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",UN,50.0,YW1050,300.0
transfer_mar,000598,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",UN,50.0,YW1520,300.0
transfer_mar,000598,KIT2YW1050,Conjunto 02 pçs pote hermético (1050ml x2) - CX c/12 conj,UN,8.0,YW1050,192.0
transfer_mar,000598,KIT4YW1050,Conjunto 04 pçs pote hermético (1050ml x4) - CX c/6 conj,UN,17.0,YW1050,408.0
transfer_mar,000598,KIT2YW1520,Conjunto 02 pçs pote hermético (1520ml x2) - CX c/8 conj,UN,12.0,YW1520,192.0
transfer_mar,000598,KIT4YW1520,Conjunto 04 pçs pote hermético (1520ml x4) - CX c/4 conj,UN,25.0,YW1520,400.0
saida_filial_mar,000028,YW800SQ,Pote de Vidro Hermético 800ml,UN,543.0,YW800SQ,543.0
saida_filial_mar,000028,YW1050,"Pote de Vidro Hermético 1050ml RETANGULAR 20,5x15,7x7",UN,423.0,YW1050,423.0
saida_filial_mar,000028,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,337.0,YW1520,337.0
saida_filial_mar,000029,YW800SQ,Pote de Vidro Hermético 800ml,UN,24.0,YW800SQ,24.0
saida_filial_mar,000029,YW1050,"Pote de Vidro Hermético 1050ml RETANGULAR 20,5x15,7x7",UN,41.0,YW1050,41.0
saida_filial_mar,000029,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,122.0,YW1520,122.0
saida_filial_mar,000030,YW800SQ,Pote de Vidro Hermético 800ml,UN,9.0,YW800SQ,9.0
saida_filial_mar,000030,YW1050,"Pote de Vidro Hermético 1050ml RETANGULAR 20,5x15,7x7",UN,116.0,YW1050,116.0
saida_filial_mar,000030,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,441.0,YW1520,441.0
saida_matriz_mar,000617,YW800SQ,Pote de Vidro Hermético 800ml,UN,371.0,YW800SQ,371.0
saida_matriz_mar,000617,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,331.0,YW1520,331.0
saida_matriz_mar,000618,YW800SQ,Pote de Vidro Hermético 800ml,UN,17.0,YW800SQ,17.0
saida_matriz_mar,000618,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,120.0,YW1520,120.0
saida_matriz_mar,000619,YW800SQ,Pote de Vidro Hermético 800ml,UN,6.0,YW800SQ,6.0
saida_matriz_mar,000619,YW1520AZ,Pote de Vidro Hermético 1520ml,UN,432.0,YW1520,432.0
entrada_648,000648,KIT3S096,"Conjunto 03 pçs pote hermético (320ml, 520ml, 800ml) - CX c/12 conj",CX,17.0,YW800SQ,204.0
entrada_648,000648,KIT6S097,"Conjunto 06 pçs pote hermético (320ml x2, 520ml x2, 800ml x2) - CX c/6 conj",CX,34.0,YW800SQ,408.0
entrada_648,000648,KIT9S098,"Conjunto 09 pçs pote hermético (320ml x3, 520ml x3, 800ml x3) - CX c/2 conj",CX,100.0,YW800SQ,600.0
entrada_648,000648,KIT2YW800SQ,Conjunto 02 pçs pote hermético (800ml x2) - CX c/12 conj,CX,17.0,YW800SQ,408.0
entrada_648,000648,KIT4YW800SQ,Conjunto 04 pçs pote hermético (800ml x4) - CX c/6 conj,CX,34.0,YW800SQ,816.0
entrada_648,000648,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",CX,25.0,YW1050,200.0
entrada_648,000648,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",CX,25.0,YW1520,200.0
entrada_648,000648,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",CX,50.0,YW1050,400.0
entrada_648,000648,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",CX,50.0,YW1520,400.0
entrada_648,000648,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",CX,100.0,YW1050,600.0
entrada_648,000648,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",CX,100.0,YW1520,600.0
entrada_648,000648,KIT2YW1050,Conjunto 02 pçs pote hermético (1050ml x2) - CX c/12 conj,CX,17.0,YW1050,408.0
entrada_648,000648,KIT4YW1050,Conjunto 04 pçs pote hermético (1050ml x4) - CX c/6 conj,CX,34.0,YW1050,816.0
entrada_648,000648,KIT2YW1520,Conjunto 02 pçs pote hermético (1520ml x2) - CX c/8 conj,CX,25.0,YW1520,400.0
entrada_648,000648,KIT4YW1520,Conjunto 04 pçs pote hermético (1520ml x4) - CX c/4 conj,CX,50.0,YW1520,800.0
transfer_abr,000649,KIT3S096,"Conjunto 03 pçs pote hermético (320ml, 520ml, 800ml) - CX c/12 conj",CX,15.0,YW800SQ,180.0
transfer_abr,000649,KIT6S097,"Conjunto 06 pçs pote hermético (320ml x2, 520ml x2, 800ml x2) - CX c/6 conj",CX,30.0,YW800SQ,360.0
transfer_abr,000649,KIT9S098,"Conjunto 09 pçs pote hermético (320ml x3, 520ml x3, 800ml x3) - CX c/2 conj",CX,90.0,YW800SQ,540.0
transfer_abr,000649,KIT2YW800SQ,Conjunto 02 pçs pote hermético (800ml x2) - CX c/12 conj,CX,15.0,YW800SQ,360.0
transfer_abr,000649,KIT4YW800SQ,Conjunto 04 pçs pote hermético (800ml x4) - CX c/6 conj,CX,30.0,YW800SQ,720.0
transfer_abr,000649,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",CX,22.0,YW1050,176.0
transfer_abr,000649,KIT3S099,"Conjunto 03 pçs pote hermético (640ml, 1050ml, 1520ml) - CX c/8 conj",CX,22.0,YW1520,176.0
transfer_abr,000649,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",CX,45.0,YW1050,360.0
transfer_abr,000649,KIT6S100,"Conjunto 06 pçs pote hermético (640ml x2, 1050ml x2, 1520ml x2) - CX c/4 conj",CX,45.0,YW1520,360.0
transfer_abr,000649,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",CX,90.0,YW1050,540.0
transfer_abr,000649,KIT9S101,"Conjunto 09 pçs pote hermético (640ml x3, 1050ml x3, 1520ml x3) - CX c/2 conj",CX,90.0,YW1520,540.0
transfer_abr,000649,KIT2YW1050,Conjunto 02 pçs pote hermético (1050ml x2) - CX c/12 conj,CX,15.0,YW1050,360.0
transfer_abr,000649,KIT4YW1050,Conjunto 04 pçs pote hermético (1050ml x4) - CX c/6 conj,CX,30.0,YW1050,720.0
transfer_abr,000649,KIT2YW1520,Conjunto 02 pçs pote hermético (1520ml x2) - CX c/8 conj,CX,22.0,YW1520,352.0
transfer_abr,000649,KIT4YW1520,Conjunto 04 pçs pote hermético (1520ml x4) - CX c/4 conj,CX,45.0,YW1520,720.0
transfer_abr,000653,YW1050RC,"Pote de Vidro Hermético 1050ml Retangular 20,5x15,7x7",CX,176.0,YW1050,2112.0
transfer_abr,000653,YW1520RC,Pote de Vidro Hermético 1520ml Retangular,CX,70.0,YW1520,840.0
transfer_abr,000653,YW800SQ,Pote de Vidro Hermético 800ml,CX,176.0,YW800SQ,2112.0
entrada_653_inferida,580119_inferida_via_000653,YW1050RC,"Pote de Vidro Hermético 1050ml Retangular 20,5x15,7x7",CX,196,YW1050,2352.0
entrada_653_inferida,580119_inferida_via_000653,YW1520RC,Pote de Vidro Hermético 1520ml Retangular,CX,78,YW1520,936.0
entrada_653_inferida,580119_inferida_via_000653,YW800SQ,Pote de Vidro Hermético 800ml,CX,196,YW800SQ,2352.0
