componente,saldo_inicial_matriz_pos_marco,saldo_inicial_filial_pos_marco,entradas_abril_matriz,transferencias_abril_filial,retencao_matriz_abril,vendas_abril_gb,vendas_abril_trades,vendas_abril_broglio,vendas_abril_total,pode_nf_filial,excedente_possivel_matriz,bloqueado_sem_estoque_fiscal,saldo_final_matriz,saldo_final_filial
IMB501C,221.0,1577.0,6000.0,5400.0,600.0,252.0,564.0,0.0,816.0,816.0,0,0,821.0,6161.0
IMB501P,221.0,632.0,5988.0,5388.0,600.0,1906.0,18.0,51.0,1975.0,1975.0,0,0,821.0,4045.0
IMB501V,221.0,1952.0,5988.0,5388.0,600.0,291.0,0.0,0.0,291.0,291.0,0,0,821.0,7049.0
S096,3.0,24.0,51.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,69.0
S097,11.0,102.0,204.0,180.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,35.0,282.0
S098,50.0,450.0,900.0,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,140.0,1260.0
S099,4.0,36.0,75.0,66.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,102.0
S100,8.0,72.0,300.0,270.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0,38.0,342.0
S101,50.0,450.0,900.0,810.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,140.0,1260.0
YW1050,109.0,404.0,366.0,326.0,40.0,1360.0,34.0,86.0,1480.0,730.0,149.0,601.0,0.0,0.0
YW1520,-769.0,124.0,328.0,294.0,34.0,1080.0,392.0,636.0,2108.0,418.0,0,1690.0,-735.0,0.0
YW320,104.0,521.0,102.0,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,116.0,611.0
YW320SQ,0.0,0.0,96.0,86.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,86.0
YW520,99.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99.0,888.0
YW520SQ,9.0,-416.0,266.0,236.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0,39.0,-180.0
YW640,108.0,506.0,260.0,231.0,29.0,748.0,14.0,28.0,790.0,737.0,53.0,0,84.0,0.0
YW800,64.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,64.0,576.0
YW800SQ,-385.0,-496.0,366.0,326.0,40.0,0.0,0.0,0.0,0.0,0.0,0,0,-345.0,-170.0
